NMuestra	x	y	P	Arenas	Limos	Arcillas	Amonio	Nitrato	SOC	Fosfatasa	Glucosidasa	Potasio	ph	conductividad	x.r	y.r	N	s 	C	H	x0	y0	xrt	yrt
101	488560.8051	4457823.799	0.4306	48.22965126	43.91730601	7.853042735	18.81672201	6.869791224	1.778938971	0.748	0.97	0.02111	6.78	131.2	12.8051	5.7987	0.38	0.45	10.39	0.22	11.7772	5.159	6.253510018	10.65857075
104	488559.6347	4457822.846	0.4795	50.03774758	42.35500488	7.607247535	22.50552771	6.071589338	1.909427887	0.62	1.141	0.00938	7.13	111.2	11.6347	4.8455	0.37	0.62	10.21	0.14	10.6068	4.206	6.395661158	9.155960284
107	488558.3182	4457822.072	0.4565	49.81446506	40.24219531	9.943339629	25.76033207	5.8474706	1.842586731	1.142	1.843	0.01124	7.3	128	10.3182	4.0717	0.37	1.24	10.25	0.22	9.2903	3.432	6.307810426	7.631319179
110	488556.9884	4457821.48	0.6535	47.089254	44.27952931	8.631216696	16.79010544	8.404671733	2.198749103	0.687	0.916	0.01301	7.54	128.6	8.9884	3.4795	0.36	1.23	9.82	0.15	7.9605	2.840000001	6.06124314	6.196733311
113	488555.8003	4457820.615	0.6665	45.13657562	45.24539196	9.618032423	24.83591558	8.135798642	2.038702919	1.35	1.226	0.0193	7.66	168.4	7.8003	2.6154	0.38	1.1	10.14	0.23	6.7724	1.975000001	6.120391361	4.728296013
116	488554.5258	4457819.8	0.6381	42.22209883	44.85508051	12.92282066	20.61643544	6.188637375	2.285062525	1.391	1.283	0.00918	7.91	146.4	6.5258	1.7999	0.42	0.71	9.83	0.18	5.4979	1.16	6.089964834	3.215798252
119	488553.2509	4457819.053	0.6352	41.25731936	48.29835224	10.4443284	18.27788025	5.729910514	1.881639841	1.133	0.974	0.01085	7.31	99.5	5.2509	1.0532	0.38	0.83	11.11	0.33	4.223	0.413000001	6.002776143	1.74074668
122	488560.6659	4457823.844	0.4007	50.39265998	43.07707688	6.530263143	20.4430605	6.402685218	1.668906736	0.548	1.025	0.01187	7.87	96.8	12.6659	5.8435	0.39	0.66	10.17	0.16	11.638	5.204	6.138758509	10.56783084
125	488559.2625	4457822.967	0.5115	46.54069897	44.07056264	9.388738399	22.47386932	5.544775154	2.311258861	0.955	1.194	0.0102	7.85	118.7	11.2625	4.9673	0.48	1.77	12.31	0.3	10.2346	4.327000001	6.088270094	8.913711293
128	488557.9813	4457822.217	0.6677	44.52215229	45.26814756	10.20970016	29.17528751	9.994416116	2.213509127	0.113	1.466	0.02012	7.67	152.9	9.9813	4.2169	0.45	1.13	10.84	0.17	8.9534	3.577000001	6.00007572	7.431754751
130	488557.2166	4457821.679	0.6502	43.85838311	44.79317006	11.34844683	20.01776129	5.40670659	1.94386438	0.711	1.267	0.01379	8.01	122.3	9.2166	3.6792	0.38	1.32	11.02	0.24	8.1887	3.039	6.022561815	6.497033152
133	488555.9252	4457820.978	0.725	46.4978903	41.78325561	11.7188541	13.87323196	7.375966587	1.470991228	0.728	0.688	0.01035	7.28	127.8	7.9252	2.9776	0.35	1.13	9.54	0.16	6.8973	2.338	5.887958615	5.033818562
136	488554.6203	4457820.247	0.622	38.18369568	51.0526082	10.76369612	20.746848	3.644629505	1.518374601	0.523	0.588	0.01082	8.21	114.7	6.6203	2.2473	0.36	1.01	9.18	0.26	5.5924	1.607000001	5.770799303	3.542712025
139	488553.3236	4457819.44	0.7155	45.37055544	46.98847358	7.640970973	18.30706503	9.099111759	1.557167863	1.228	1.064	0.01232	7.94	116.9	5.3236	1.4397	0.39	0.75	9.32	0.22	4.2957	0.800000001	5.721387359	2.016200201
142	488560.654	4457824.079	0.4502	52.66483791	41.51794143	5.817220661	15.3356359	6.656083403	1.448775228	0.657	1.08	0.01323	7.69	127.4	12.654	6.0791	0.38	1.13	10.23	0.27	11.6261	5.439	5.936751865	10.68849536
145	488559.3822	4457823.302	0.6876	51.91765307	40.97470519	7.107641742	18.00011826	5.612084512	1.862109956	0.821	1.228	0.01621	8.12	138.8	11.3822	5.302	0.42	0.84	10.47	0.2	10.3543	4.662	5.876229531	9.199354233
148	488558.0711	4457822.563	0.4478	47.72075975	45.84805065	6.431189603	17.77418792	7.007388938	1.423758758	0.602	0.695	0.01873	7.98	129.6	10.0711	4.5633	0.33	1.55	9.51	0.25	9.0432	3.923	5.762277442	7.698648022
151	488556.8409	4457821.834	0.3984	47.66308451	45.82796749	6.508947999	16.55115052	8.581145603	1.650636038	0.769	0.965	0.01163	7.77	149.9	8.8409	3.8341	0.41	1.06	9.98	0.19	7.813	3.194	5.684956289	6.270763405
154	488555.5186	4457821.109	0.7032	41.60576645	49.05484351	9.339390035	14.70433836	6.194545181	1.45800677	0.791	0.505	0.00904	7.78	120.8	7.5186	3.1092	0.34	0.96	9.5	0.28	6.4907	2.469000001	5.553141238	4.768522718
157	488554.2574	4457820.253	0.6683	40.2315324	51.34264351	8.425824084	18.05742272	6.814811267	1.445339848	0.778	0.779	0.00773	7.54	113.5	6.2574	2.2531	0.32	0.26	9.02	0.56	5.2295	1.613	5.564194049	3.244305123
159	488553.3975	4457819.765	0.6469	46.47336555	45.04027107	8.486363384	20.50621568	9.598368971	2.254377186	1.542	2.033	0.01154	7.44	146.7	5.3975	1.7649	0.5	1.06	11.76	0.41	4.3696	1.125	5.492216376	2.25820613
