ID_GPS	Fecha	Xlocal	Ylocal	X	Y	Altura elipsoidal	id_suelo_raiz	Nº	Marco	COD	GLUC	FOSF	N	P	K	C	pH	COND	Arena	Limo	Arcilla
GPS0101	10/07/2016 9:29	488511,8701	4457844,769	6,5986	10,6076	762,6019	S1	1	Borde	B1	0,843115133	0,485433363	0,399466560	0,041988474	0,032923465	1,653310527	7,96	1272,0	41,66620482	49,11602026	9,21777492
GPS0102	10/07/2016 9:29	488511,0153	4457844,301	5,7438	10,1391	762,4861	S2	2	Borde	B2	0,496069236	0,261589333	0,769052991	0,134320270	0,008394189	1,398486344	7,95	415,0	40,20254514	51,19816999	8,599284874
GPS0103	10/07/2016 9:29	488510,1636	4457843,787	4,8921	9,6251	762,5982	S3	3	Borde	B3	0,547919702	0,303173660	0,761825152	0,128260315	0,006987988	1,294919043	8,25	92,7	47,76337978	43,65514334	8,581476879
GPS0104	10/07/2016 9:30	488509,3448	4457843,245	4,0733	9,083	762,5732	S4	4	Borde	B4	1,350270970	0,760037132	0,819091544	0,109364300	0,024623082	0,936950764	7,76	1457,0	46,2133555	43,4879468	10,2986977
GPS0105	10/07/2016 9:30	488508,5625	4457842,656	3,291	8,4942	762,3769	S5	5	Borde	B5	0,529920001	0,539388020	0,423128942	0,061018569	0,009941113	1,207677469	8,17	118,7	47,37747492	44,20558466	8,416940424
GPS0106	10/07/2016 9:30	488507,7412	4457842,082	2,4697	7,9198	762,2818	S6	6	Borde	B6	0,859404431	0,280294298	0,663632471	0,100820858	0,008535684	1,395484154	8,13	100,3	47,52988446	41,86376905	10,60634649
GPS0107	10/07/2016 9:31	488506,859	4457841,575	1,5875	7,4137	762,2395	S7	7	Borde	B7	0,649979140	0,452637890	0,700648128	0,103377099	0,009679006	1,150754199	8,12	87,6	44,83344815	46,19341792	8,97313393
GPS0108	10/07/2016 9:31	488506,0741	4457841,01	0,8026	6,8485	762,1948	S8	8	Borde	B8	1,328033989	0,999160503	0,980080013	0,156947999	0,008956404	1,656668130	8,31	86,8	46,33732158	44,19520966	9,467468756
GPS0109	10/07/2016 9:31	488505,2715	4457840,415	0	6,2528	762,204	S9	9	Borde	B9	1,197569388	0,803658149	0,664049329	0,091188422	0,015228028	1,371598007	8,04	127,0	46,22089473	45,29818678	8,480918489
GPS0117	10/07/2016 9:33	488511,7676	4457844,2	6,4961	10,0378	762,7648	S10	10	Regular	R1	0,306306368	0,352832290	0,477923375	0,060615213	0,013843367	1,091485825	7,70	198,3	46,39676113	45,78226388	7,820974988
GPS0116	10/07/2016 9:33	488510,8551	4457843,653	5,5836	9,4911	762,7128	S11	11	Regular	R2	0,859062492	0,387783498	0,842590825	0,130554281	0,008463801	1,493170212	8,41	70,1	44,19750347	46,8815534	8,920943135
GPS0115	10/07/2016 9:32	488510,0621	4457843,138	4,7906	8,976	762,7837	S12	12	Regular	R3	1,093196980	0,523171620	0,709867988	0,127460685	0,011456431	0,972023850	8,31	54,4	40,07430409	51,18775646	8,737939448
GPS0114	10/07/2016 9:32	488509,2477	4457842,581	3,9762	8,4193	762,505	S13	13	Regular	R4	0,840112450	0,290777071	0,980498026	0,133948930	0,008122372	1,289395288	8,36	68,6	45,23954989	46,80248381	7,957966298
GPS0113	10/07/2016 9:32	488508,4438	4457841,992	3,1723	7,8303	762,4778	S14	14	Regular	R5	1,074449521	0,456167759	0,670389990	0,120271608	0,007511457	1,350557889	8,27	64,8	45,42922765	45,60453582	8,966236533
GPS0112	10/07/2016 9:32	488507,6173	4457841,462	2,3458	7,3005	762,4229	S15	15	Regular	R6	1,468742993	0,384426954	0,679690606	0,123039669	0,007356921	1,417683491	8,27	57,0	46,35389484	44,41841097	9,227694187
GPS0111	10/07/2016 9:32	488506,8068	4457840,912	1,5353	6,75	762,3504	S16	16	Regular	R7	0,823157066	0,370230553	0,747513246	0,145518154	0,011217914	1,299378172	8,23	53,7	43,01542761	48,14946264	8,835109746
GPS0110	10/07/2016 9:31	488505,9535	4457840,348	0,682	6,1863	762,2809	S17	17	Regular	R8	0,730999125	0,354543745	0,935310023	0,117842518	0,008625515	1,273979537	8,07	180,10	43,28689818	46,4262703	10,28683152
GPS0118	10/07/2016 9:33	488512,4032	4457844,043	7,1317	9,8817	762,8712	S18	18	Borde	B10	0,715979139	0,526131232	0,922091051	0,160340144	0,012844866	1,241784586	8,10	59,4	41,37816134	48,97870781	9,643130852
GPS0119	10/07/2016 9:34	488511,4781	4457843,447	6,2066	9,2853	762,8772	S19	19	Aleatorio	A1	1,144737460	0,684667548	0,925548484	0,143518058	0,014058693	1,293073571	8,28	58,3	44,89617074	46,11860496	8,985224298
GPS0120	10/07/2016 9:34	488510,7579	4457843,013	5,4864	8,8513	762,8862	S20	20	Aleatorio	A2	0,703428921	0,414258161	0,649586913	0,136569526	0,014454804	1,095090272	8,20	65,5	45,80453768	45,27010511	8,925357214
GPS0129	10/07/2016 9:36	488509,9455	4457842,481	4,674	8,3193	762,8174	S21	21	Aleatorio	A3	0,895803775	0,531748514	0,588362553	0,114362433	0,012496551	1,192220801	8,26	68,3	36,2970363	53,0991231	10,6038406
GPS0133	10/07/2016 9:37	488507,3444	4457840,673	2,0729	6,5114	762,5249	S22	22	Aleatorio	A4	1,064183865	1,090319454	0,722397539	0,122318781	0,011735520	1,743274442	8,17	70,9	39,57872752	49,63949652	10,78177597
GPS0135	10/07/2016 9:38	488506,4924	4457840,125	1,2209	5,9629	762,4935	S23	23	Aleatorio	A5	0,972620444	0,751756515	0,889971818	0,141340125	0,012686695	1,653788111	8,14	89,6	40,73662944	49,21297427	10,05039629
GPS0137	10/07/2016 9:38	488505,7144	4457839,634	0,4429	5,4719	762,4441	S24	24	Borde	B11	1,004714971	1,048711121	1,183525912	0,250363827	0,009651013	1,831501832	8,11	72,5	38,87389639	50,99672386	10,12937975
GPS0121	10/07/2016 9:34	488511,0534	4457842,916	5,7819	8,7545	762,9295	S25	25	Fino	F1	0,739249023	0,202157696	0,848185316	0,141202975	0,012758775	1,208039741	7,94	174,9	41,24299428	49,69979468	9,057211032
GPS0122	10/07/2016 9:34	488510,899	4457842,815	5,6275	8,6532	762,9375	S26	26	Fino	F2	0,833030731	0,204622017	0,805099581	0,157125853	0,013011493	0,989094013	8,13	77,0	43,87210579	48,3697039	7,75819031
GPS0123	10/07/2016 9:35	488510,6852	4457842,683	5,4137	8,5217	762,9465	S27	27	Fino	F3	1,017862972	0,504651489	0,553180525	0,101813052	0,014124020	1,167499031	8,12	79,9	40,35194848	50,51071389	9,137337626
GPS0147	10/07/2016 9:41	488512,3383	4457843,446	7,0668	9,2838	762,9501	S28	28	Regular	R9	0,763928884	0,235444103	0,716976165	0,136709157	0,014027936	1,173570518	7,74	1574,0	38,46837144	52,05582883	9,475799736
GPS0124	10/07/2016 9:35	488511,3649	4457842,814	6,0934	8,6524	762,9524	S29	29	Regular	R10	1,044039330	0,433443859	0,687103522	0,113241403	0,008928392	1,640394089	8,21	100,7	41,12329102	48,84550028	10,0312087
GPS0125	10/07/2016 9:35	488511,203	4457842,715	5,9315	8,5536	762,9631	S30	30	Fino	F4	1,432348191	0,718631825	0,700205471	0,129231979	0,012810214	1,423471589	8,03	145,7	42,941085	47,3408273	9,718087706
GPS0126	10/07/2016 9:35	488511,0237	4457842,587	5,7522	8,4256	762,9712	S31	31	Fino	F5	0,938875003	0,705155828	0,815508109	0,151513260	0,011604262	1,083889657	8,19	68,4	43,47690941	47,19582593	9,327264654
